transect,old_tag,new_tag,species,status93,status13,status22,diam93,rad1993,cross1993,basal_area_1993,diam13,rad2013,cross2013,basal_area_2013,diam22,rad2022,cross2022,basal_area_2022
F,34,A8714,Beilschmiedia tawa,A,A,A,28.8,14.4,6.514406526,72.38229474,29.5,14.75,6.834927517,75.94363908,33,16.5,8.552985999,95.03317777
D,45D,,Coprosma grandifolia,A,D,D,6.3,3.15,0.311724531,3.463605901,,0,0,0,,0,0,0
E,32,,Cyathea dealbata,A,A,D,17.8,8.9,2.488455541,27.64950601,17.8,8.9,2.488455541,27.64950601,,0,0,0
E,34,,Cyathea dealbata,A,A,D,9.4,4.7,0.693977817,7.710864635,9.4,4.7,0.693977817,7.710864635,,0,0,0
F,100,A8465,Cyathea dealbata,A,A,A,23.3,11.65,4.263848089,47.37608988,21.2,10.6,3.529893506,39.22103895,23.3,11.65,4.263848089,47.37608988
F,104,,Cyathea dealbata,A,A,A,16.7,8.35,2.190396938,24.33774375,16.7,8.35,2.190396938,24.33774375,14.2,7.1,1.583676857,17.59640952
F,108,,Cyathea dealbata,,A,A,,0,0,0,10,5,0.785398163,8.72664626,16.6,8.3,2.164243179,24.04714643
E,27B,,Cyathea dealbata,,A,A,,0,0,0,23,11.5,4.154756284,46.16395872,19,9.5,2.83528737,31.503193
E,27D,,Cyathea dealbata,,A,A,,0,0,0,18,9,2.544690049,28.27433388,20.5,10.25,3.300635782,36.67373091
E,28A,,Cyathea dealbata,,A,A,,0,0,0,16,8,2.010619298,22.34021443,27.3,13.65,5.853493972,65.03882191
E,33B,,Cyathea dealbata,A,A,D,25.2,12.6,4.987592497,55.41769441,25.2,12.6,4.987592497,55.41769441,,0,0,0
F,46B,,Cyathea dealbata,A,D,D,18.9,9.45,2.805520779,31.17245311,,0,0,0,,0,0,0
F,49D,,Cyathea dealbata,A,D,D,15.9,7.95,1.985565097,22.06183441,,0,0,0,,0,0,0
F,54C,,Cyathea dealbata,,,A,,0,0,0,,0,0,0,19,9.5,2.83528737,31.503193
F,91,A8468,Cyathea medullaris,A,D,D,36.7,18.35,10.57844932,117.5383258,,0,0,0,,0,0,0
F,43B,,Cyathea medullaris,A,D,D,17.3,8.65,2.350618163,26.11797959,,0,0,0,,0,0,0
F,45A,,Cyathea medullaris,A,D,D,31.8,15.9,7.942260388,88.24733764,,0,0,0,,0,0,0
